Latitude (deg), Longitude (deg), Altitude (m), Distance horizontal (m), Velocity forward (m/s), Velocity lateral (m/s), Velocity down (m/s), Speed horizontal (m/s), Heading (deg), Pitch (deg), Roll (deg), Slip angle (deg), Angular rate forward (deg/s), Angular rate lateral (deg/s), Angular rate down (deg/s), Angular rate Xv (deg/s), Angular rate Yv (deg/s), Angular rate Zv (deg/s), Acceleration forward (m/s²), Acceleration lateral (m/s²), Acceleration down (m/s²), Acceleration Xv (m/s²), Acceleration Yv (m/s²), Acceleration Zv (m/s²)
42.24159433, -83.56538757, 188.162, 2904.466, 4.46, -0.02, -0.15, 4.46, 152.177, 3.004, 1.573, -0.243, -1.00, 0.05, 0.11, -1.01, 0.05, 0.05, 0.028, -0.001, -9.861, 0.545, -0.272, -9.843
42.24158724, -83.56538250, 188.193, 2905.359, 4.47, -0.02, -0.14, 4.47, 152.153, 2.953, 1.557, -0.237, -0.45, -0.75, -0.42, -0.43, -0.76, -0.42, 0.033, 0.038, -9.967, 0.546, -0.233, -9.949
42.24158013, -83.56537742, 188.224, 2906.253, 4.48, -0.01, -0.13, 4.48, 152.134, 2.876, 1.537, -0.141, -0.88, 0.46, -0.28, -0.86, 0.45, -0.33, 0.107, 0.133, -9.734, 0.595, -0.128, -9.717
42.24157300, -83.56537231, 188.253, 2907.150, 4.49, -0.02, -0.15, 4.49, 152.115, 2.833, 1.503, -0.270, 0.24, 0.15, 0.08, 0.24, 0.16, 0.09, 0.006, 0.138, -9.752, 0.488, -0.117, -9.740
42.24156585, -83.56536718, 188.282, 2908.050, 4.51, -0.02, -0.15, 4.51, 152.084, 2.807, 1.463, -0.215, 0.05, -1.40, -0.28, 0.07, -1.40, -0.24, -0.005, 0.004, -9.601, 0.466, -0.240, -9.586
42.24155867, -83.56536202, 188.309, 2908.954, 4.53, -0.03, -0.14, 4.53, 152.066, 2.815, 1.391, -0.353, -0.59, 0.03, 0.23, -0.60, 0.03, 0.20, 0.159, 0.059, -9.945, 0.647, -0.182, -9.924
42.24155147, -83.56535682, 188.338, 2909.860, 4.54, -0.02, -0.13, 4.54, 152.035, 2.814, 1.344, -0.208, 0.38, 0.07, -0.08, 0.38, 0.07, -0.07, 0.011, 0.039, -10.422, 0.523, -0.205, -10.407
42.24154423, -83.56535161, 188.366, 2910.771, 4.56, -0.02, -0.14, 4.56, 152.010, 2.788, 1.336, -0.293, -0.75, -0.05, 0.00, -0.75, -0.05, -0.04, 0.083, -0.077, -9.847, 0.562, -0.307, -9.827
42.24153698, -83.56534637, 188.394, 2911.684, 4.58, -0.01, -0.13, 4.58, 151.992, 2.801, 1.306, -0.137, 0.19, 0.08, -0.49, 0.21, 0.07, -0.48, 0.043, 0.132, -9.637, 0.514, -0.088, -9.624
42.24152970, -83.56534112, 188.423, 2912.602, 4.60, -0.01, -0.13, 4.60, 151.958, 2.798, 1.320, -0.119, -0.25, -0.23, -0.37, -0.23, -0.24, -0.38, 0.198, 0.028, -9.696, 0.671, -0.195, -9.673
